training_data_large
,Title,Topic 1,Topic 2,X.M.._twitter_id
399406,Dallas gas stations be jumping ðŸ˜‚ðŸ˜‚ https://t.co/UeRnPj2TnB,6,,8.96999E+17
1194459,Great job! Thank you @KCTigersAFJROTC for always taking on any challenge!!! #WeAreKCollins #KleinSpirit https://t.co/rxhMbYEoco,2,,9.03709E+17
1633316,What a great analogyðŸ¤”ðŸ¤¤ðŸ˜‚ https://t.co/su6xVDuzek,6,,9.08086E+17
65411,JAMES HARDEN AND JOHN WALL SHOW OUT #reaction #nbahttps://t.co/ajZL433fXU,4,,8.93569E+17
1006989,Hats off to everyone that home schools their children! This is NOT an easy task!,1,,9.02327E+17
561812,@RiefLauren bois be on that hoe shit huh?,6,,8.98616E+17
460093,i know lol https://t.co/LgkDRkquRz,6,,8.97618E+17
56068,@HoustonTexans @Panthers Our OL right now is...missing a few pieces,,,8.9349E+17
959323,@iamcardib killed the #VMAs2017 ðŸ˜ðŸ˜ðŸ˜,6,,9.02023E+17
89401,Ash would do you like that https://t.co/jD6ltFNYdw,6,,8.93857E+17
275104,"Nigga had to Find some bs excuse not to use the broke controller knowing why I don't wanna use it"" https://t.co/ZMDjvH908K",6,,8.95753E+17
1013923,It really just blows my mind at how quickly a normal day can turn into something devastating. Still keeping Houston in my pray,1,,9.02354E+17
520488,Dear god https://t.co/wz5YxyIROw,1,,8.98222E+17
1825697,Turquoise tassels for #TrendTuesday! Get the trend in store and online now! #ChloeDaoâ€¦ https://t.co/P2GPHdZh9l,6,,8.8734E+17
1580439,Wow I Neva knew!! https://t.co/ndZlprZ3Sj,6,,9.07475E+17
1546542,Thanks o sauce https://t.co/Uqh7gHaGWv,6,,9.07115E+17
1872801,"""Damn it feels good to be a gangsta..."" The OG J Prince on the drums. #RapALot #YEMG #PRBLMSLVRSâ€¦ https://t.co/ADrdTJw1MO",6,,8.89307E+17
1648691,ok heâ€™s upstairs too https://t.co/bHnwYDEiVO,6,,9.08203E+17
1648825,I have an unhealthy obsession with BeyoncÃ© and Teyana Taylor,6,,9.08205E+17
1658461,#SwoonThumb #PoorSwoon #Swoon https://t.co/kwzgVZNzdf,4,,9.08371E+17
158211,@JosephSikora4 @Power_STARZ @fifi4411 @PowerTVFans Hope u do... U r 1 awesome actor!!!,6,,8.9461E+17
803870,My dad just called me to tell me to go outside and move his grill and smoker out of the rain just in case ahahahaha,1,,9.01062E+17
510606,por eso estÃ¡n cÃ³mo estÃ¡n smhhh ðŸ¤¦ðŸ½â€â™€ï¸,6,,8.98062E+17
1516749,lmao what,6,,9.06916E+17
402494,I miss Obama as President. #JustSaying,2,,8.9709E+17
1087206,My name is Winifred. What's yours?,6,,9.02781E+17
1126854,Be safe Genesys. I need you alive @LoudFlavor https://t.co/Ls01vZo21s,1,,9.03102E+17
798810,You don't give people you don't love the power to destroy you,6,,9.00955E+17
409819,I was hyperventilating thinkinsome things wuld sell out fast but thankfully it didnt&amp;got the whole collection!#Issabombcol,6,,8.97154E+17
436191,ðŸ˜ðŸ˜ https://t.co/s7JORIkuLx,6,,8.97357E+17
1502576,@diamondrk94 Chilling . Where the drinks,6,,9.0671E+17
1442461,lmao I have the worst luck at the worst times ðŸ¤¦ðŸ½â€â™€ï¸ðŸ˜€,6,,9.06026E+17
67227,Please tell me it's in HoustonðŸ¤žðŸ¾ https://t.co/6pdx8nNTed,6,,8.93585E+17
1044506,@greg_vaughan Thank you @greg_vaughan I'm in houston and we can use prayers everywhere ðŸ™ðŸ¼ðŸ™ðŸ¼ #PrayForHouston #PrayforTexas ,1,,9.02573E+17
1691278,My ass ready to see wtf this check looking like ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,6,,9.08701E+17
164482,Lord geesussðŸ˜» Someone put this bitch on a stage https://t.co/v34cznVtxb,6,,8.94661E+17
566719,He probably said/did some ignorant shit.. had to. Y'all know the age gawds don't do this to unproblematic whites. https://t.co,6,,8.98658E+17
1344152,SON ðŸ˜­ https://t.co/HO0K9AIYMr,6,,9.05133E+17
252858,@Majic1021 if you get a chance come check out our 10th Annual Back to School Drive this coming Sunday... Thanks https://t.co/3,6,,8.95489E+17
440264,@SportsMT  https://t.co/9xV1U6UOW5,4,,8.97461E+17
1326951,Uhhhh... https://t.co/Io1pnBU4Da,4,,9.04923E+17
476762,Woke up with a huge praise in my heart â¤ï¸,6,,8.97803E+17
239365,I wonder if you miss me when he can't make you cum.,6,,8.95395E+17
731106,I need help ðŸ’€,6,,9.00377E+17
707748,Amarie * https://t.co/OVJ8s5iAYk,6,,9.00132E+17
152712,It's so humid outside my glasses fogged up as soon as I stepped out the door,5,,8.94553E+17
105252,when ur girlfriend puts make up on just to go get ice cream ðŸ˜‘,6,,8.94005E+17
1732720,I like Rick Pitino need to accept that XS is no longer an option.,4,,9.09168E+17
151760,@BobbyMidTex @TomMorrisJr1 100 miles is nothing in Texas!,4,,8.94533E+17
744923,ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ https://t.co/SYLw9Z3Enh,6,,9.00493E+17
1189756,Why he look like he just got drafted https://t.co/Gy7UbpyVfv,4,,9.03675E+17
125156,#OverwatchWorldCup commentators name dropping @DrDisRespect... My worlds are colliding.,4,,8.94265E+17
524096,@KissaClarissah @DanceGodPls ðŸ˜¥ðŸ˜Š,6,,8.9825E+17
1590954,That's disgusting if u feel like tht https://t.co/utXurM4rYR,6,,9.07653E+17
1720976,I Love to Lotion  With Oils â¤ï¸,6,,9.09056E+17
1872233,2WCUA1SFCFDFCFMBSBCH,6,,8.89289E+17
486652,Parked in handicap now my shit towed ðŸ˜‚ðŸ˜‚â˜¹ï¸ bullshit bro I swear,6,,8.97891E+17
1166652,The evil shit a short girl will say to you have you scared then a mf! Even though you a whole foot or two taller you still tur,6,,9.03451E+17
848895,'plantation' is now trending in #Houstonhttps://t.co/fD7LKaeq1T https://t.co/fLvPUEDmwu,1,,9.01391E+17
1309469,Days after Harvey left the area this is STILL what parts of Houston &amp; surrounding cities/counties look like today. #khou1,1,,9.04798E+17
650471,Shutup bye https://t.co/Ei2j8Vargf,6,,8.99503E+17
1843948,@Leslyy_04 What if we have a 'drinking problem' that day ? ðŸ˜‰ðŸ˜…,6,,8.88097E+17
1515708,Wowowow. Those cadets are SO impressive. 4 wrestlers today 4 medals today. Wow. ðŸ‡ºðŸ‡¸,4,,9.06907E+17
1812939,"A human did not write ""My Beautiful Dark Twisted Fantasy"" . . .",6,,8.86748E+17
1833700,Can Apple Cider Vinegar Help With Weight Loss? https://t.co/UcwJI14SgN,6,,8.87686E+17
766971,She gon be waiting forever dealing with me https://t.co/63AuNcvkiA,6,,9.00738E+17
177173,Just went to McDonalds and they smoothie machine down ðŸ’€ I know they be lying,6,,8.94755E+17
193030,BEAUTIFUL ðŸ’› just skip all of the filler. https://t.co/hgWAkLvda8,6,,8.94955E+17
1005133,&amp; butter https://t.co/zVKyUT0uNE,6,,9.02318E+17
875692,@SylvesterTurner I am alert!,6,,9.01605E+17
826391,ðŸ˜©ðŸ˜©ðŸ’œ https://t.co/6tvrR09416,6,,9.01221E+17
516008,ðŸ’¯ niggas/females don't understand this at all https://t.co/ruz3MKyjny,6,,8.98179E+17
1611157,can I get a kiss &amp; can you make it last forever,6,,9.07808E+17
996028,@FRoggyblues1000 Good GOD!  The amount of stupidity in this country is amazing and depressing!,2,,9.02278E+17
693532,wow yes absolutely hell yea https://t.co/qUsadVO6As,6,,9.00008E+17
234151,No it ainâ€™t black men do cheat and I as a black man donâ€™t cheat I just strengthen our relationship https://t.co/XYy5GuAV2R,6,,8.95351E+17
30918,Torchys is so fucking bomb,6,,8.93214E+17
42884,1010 44,6,,8.93308E+17
247431,I was just about to tweet this https://t.co/8GM8UMXVsy,6,,8.95454E+17
1902172,@rach_xoxo10 Meeee,6,,8.90648E+17
1901894,Yea the plug show you love would u stop buying love when the love b the same?,6,,8.9064E+17
1062874,#sunsout @ North Houston Texas https://t.co/29a922KKop,6,,9.02663E+17
80362,Facts https://t.co/f2CYhwFUyF,6,,8.93692E+17
477927,mind yo business ðŸ˜‘ https://t.co/5p7Rn8fRLC,6,,8.97818E+17
849498,I lowkey like listening to the rain,6,,9.01411E+17
120264,Lol my momma the same lowkey,6,,8.94222E+17
70479,Niggas in Houston got money,6,,8.93614E+17
1733420,Just posted a photo @ Sugar Land Town Square https://t.co/oExHqzD22J,6,,9.09176E+17
1905617,@aliza7a's Snapchat story makes me so sad. I miss my parents so so much ðŸ˜¢,6,,8.90762E+17
1655745,Next month fa sho! https://t.co/Dv5WLPu6JA,3,,9.08348E+17
32110,@_Cherisemm #TRUTHTUESDAYS VIRTUE &amp; VICE (5102 Washington Ave) | FREE ENTRYðŸ¾$150 Bottles ALL NIGHT LONGðŸ¾ | $5 U-CALL-IT,6,,8.93224E+17
470706,thank you to my friends who validated my writing today (you know who you are) it is empowering to know my words are impactful.,6,,8.97686E+17
1253505,Girlllll I'm so glad I'm not the only one ðŸ˜©ðŸ¤¦ðŸ¾â€â™€ï¸ https://t.co/EH1vwCsXba,6,,9.04205E+17
1190185,hi,6,,9.03678E+17
1797127,https://t.co/QMSCprvZjg Speaker coming to Houston before a VOTE!,2,,9.09862E+17
556866,@ms_forlikay @YvonnEledje https://t.co/L5Y4WfSwdo,6,,8.98578E+17
975869,Where i work at its full of water its right next to the fucking ocean,1,,9.02189E+17
123073,Grown men saving pictures of other grown men in their phones so they can call them ugly yuck,6,,8.94248E+17
473338,Dillon: y'all are tired.... y'all are getting moodyðŸ˜‚ @miss_mnm3  @Abygailpadilla_,6,,8.9771E+17
540741,@Bubu_2695 nah melvin went 10 ajayi went 9,4,,8.98378E+17
1475051,young nigga with a chip tooth and a pistol,6,,9.06381E+17
270675,she like to call me peaches when we get this nasty,6,,8.95715E+17
606221,ðŸ‘€ðŸ‘€,6,,8.99073E+17
584665,Am I the only one that flips through Snapchat stories fast asf just Bc I don't wanna see them when I swipe left ._.,6,,8.98805E+17
1759094,When you don't respond to my text #hellomf ðŸ™„ @ Houston Texas https://t.co/dQ72n6Jlej,6,,9.09471E+17
1045042,Plot twist: lost alot to gain nothing that's the biggest L to take,6,,9.02575E+17
1628224,Houston is rebuilding ðŸ’ªðŸ¼ https://t.co/isuZhdYxy3?amp=1,1,,9.0804E+17
585681,1305 Bank Dr Galena Park TX 77547 $0 3 beds 1 bath https://t.co/3D4ybaPpYn,6,,8.98829E+17
450679,@JuliaMorales Marwin needs to start practicing catching ðŸ˜Š,4,,8.97548E+17
1152320,GRB is currently taking volunteers who can work 6+ hours,1,,9.03358E+17
1913408,No I don't want to go to fuego.With people who still live at home with mommy and daddy wtf we have in common nothing y'all fu,6,,8.91114E+17
945031,Safe And Sound ðŸ‘ðŸ¼Thank You to all my Radio Fam For Helping! It's very Overwhelming. I Love Allâ€¦ https://t.co/0dStk0L2X8,6,,9.01972E+17
1306331,gee have all the good tweets ðŸ˜‚,6,,9.04773E+17
728662,Nothing else has. https://t.co/0eEaBgFFPl,6,,9.00351E+17
616759,Power was good ðŸ˜«,6,,8.99156E+17
1228464,@ChronBrianSmith Why is Davis in lineup again. Is Yuli not able to play?,4,,9.0403E+17
316670,@simplysope What show,6,,8.96162E+17
740946,These are clean af https://t.co/zqlBC84whO,6,,9.0046E+17
1239480,I told my mom I'd cook if she clean the kitchen. Ion wanna cook in a dirty kitchen ðŸ˜­,6,,9.04107E+17
1060305,ðŸ˜‚ðŸ˜‚ https://t.co/cfsiaedW8F,1,,9.02651E+17
1172801,@nahleenblake Thank you for the retweet!,6,,9.03481E+17
1783493,"@nchiirinos I just wanna be able to use it without saying ""nah I'm just playing"" LMFAOOOO cause sometimes I be deadass ðŸ˜‚ðŸ˜‚ðŸ˜‚",6,,9.09657E+17
30045,We will be BOYCOTTING the following companies until they STOP advertising on Hannity!!#RESIST#FIREHANNITY https://t.co/HQznT,2,,8.93207E+17
986868,Nicely said @Pink ! https://t.co/Dw8EadmOmi,6,,9.02239E+17
659866,Hate when i do stuff last min,6,,8.99663E+17
711930,Power Trip has the best intros.,6,,9.00158E+17
933059,Wow. https://t.co/mcgObMvIbJ,1,,9.01918E+17
88776,Coronel Lugo coordina toma de la sede del Ministerio PÃºblicoÂ  https://t.co/rWkjUEVjpV vÃ­a @elnacionalweb. Tiene condecoraciÃ³n ,2,,8.93849E+17
402489,Find Your Huddle #letskickit @ Four Seasons Hotel Houston https://t.co/aELZVMqR9e,4,,8.9709E+17
235829,Always look life straight in the eye.... https://t.co/OkFois6M8i,6,,8.95365E+17
639362,current weather in Texas City: few clouds 89Â°F70% humidity wind 13mph pressure 1015mb,5,,8.99435E+17
325364,#SAVEGREENSPOINTMALL ðŸ—£ https://t.co/9djY3QbdJi,6,,8.96231E+17
1842859,ðŸ¤¦ðŸ»â€â™‚ï¸ https://t.co/KPPlWpTkwB,6,,8.88062E+17
742934,Dream again! Achieve ur dreams!! Watch this powerful video. #DreamBig #neverstopdreaming https://t.co/UcalfbiSql,6,,9.00477E+17
1763472,"""As we go into the new week may all our heart desires be accomplished"" Amen ðŸ™Happyâ€¦ https://t.co/NpAwy76gCl",6,,9.09508E+17
483025,I'm ready for sweater weather,6,,8.97864E+17
929613,@rapunzzy We're getting them every 15 minutes.,6,,9.01903E+17
1869642,I miss Obama,2,,8.89201E+17
245770,Wtf are you doing Eddie Pleasant?,4,,8.95444E+17
1163735,I JUST LEFT HOUSTONI JUST LEFT EARTH,6,,9.03436E+17
771273,Zont. https://t.co/HMltyCHKo5,6,,9.0077E+17
1212148,@realDonaldTrump                 https://t.co/oLkODwbbNL,2,,9.0383E+17
1523446,LETSSSGOOOOO LMFAKOOLBY F,4,,9.06952E+17
1893238,Lmao work https://t.co/CWiHIWnZ3D,6,,8.90267E+17
552506,Alcohol is the devil that's all imma say,6,,8.98534E+17
349573,"@Team_Trump45 @Jeannie22757716 Loving this Nation ""The great Melting Pot of the World""  is loving the people of this nation!",2,,8.96517E+17
1023443,@TrillAmerican I even was wondering why ppl Caplin him. Way more shelters opened should be the focus but this... this is low.,1,,9.02389E+17
442009,Trinity really do wtf she wanna do &amp; im sick of it!!! My boys do not play with me like her,6,,8.97479E+17
1537631,That boy live!!! @pwatwesthimer @ Painting with a Twist https://t.co/DFdBgJkDAm,6,,9.07053E+17
10484,My moms finally in Texas and I get to see my sweet angel fur babies in about 2 hours.,6,,8.92965E+17
618614,i donâ€™t know it that well ðŸ˜° https://t.co/gEfV7Y9hWj,6,,8.99187E+17
1900557,@TeachSDGs Pl click on the pic to see all of its contents*Thanks* Peace be with You* https://t.co/efiY6hwXwn,6,,8.90594E+17
492043,ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­â¤ï¸â¤ï¸â¤ï¸â¤ï¸ https://t.co/xqrF74lUJ5,6,,8.97932E+17
1494909,Which seats are closer to the field @NRGParkFan single letter or double letter trying to catch the return of @JJWatt and the @,4,,9.06644E+17
1786541,what should i order?,6,,9.0976E+17
1201755,BrooooðŸ˜‚ https://t.co/SPZhZAmdmz,6,,9.03764E+17
893456,Connor fans will come with the excuses. #TeamMayweather #McGregorVsMayweather,4,,9.01674E+17
1479294,Thank you very much for the question ehmm pls the question again. https://t.co/kIqVU61M8S,6,,9.06443E+17
641125,Almost shed a tear watching power ðŸ˜©,1,,8.99446E+17
1810950,seventeen daydream. https://t.co/DdSpeg711y https://t.co/p98hPjmkLk,6,,8.86678E+17
1782861,Writing is observation not inspiration... https://t.co/0XtBNDNEW4,6,,9.09649E+17
624798,Clutch or ðŸ‘€ https://t.co/08xg6H2HRU,6,,8.99312E+17
307902,Literally ripping the heart out of #Montrose. â˜ ï¸â¤ï¸ðŸ’›ðŸ’šðŸ’™ðŸ’œâ˜ ï¸#RIPcorazon https://t.co/DeDmXDq87O,6,,8.96088E+17
475885,ðŸ‘€ https://t.co/xxGfMWnxob,6,,8.9779E+17
881308,@jonweeks46 ðŸ™ðŸ¾,6,,9.01635E+17
1418057,I got u https://t.co/Eucnsey19y,6,,9.0584E+17
932646,Who's great grandma is this ðŸ¤§ https://t.co/knC9PHl1bx,6,,9.01916E+17
936142,ðŸ’™thank you Thomas ðŸ’™ https://t.co/G2ncUcqFCY,6,,9.01933E+17
1039440,I dnt think I have ever heard Famu sound that bad ðŸ˜‚ðŸ˜‚ðŸ˜‚ Who tf wrote that trash and why tf is it in cut time ðŸ˜‚ðŸ˜‚,6,,9.02547E+17
1378502,@daedotcom Stop! You pretty sis!,6,,9.05449E+17
976797,ðŸ˜³ https://t.co/NEYxOfEE9m,3,,9.02194E+17
1741514,Virgo ðŸ¤·ðŸ¾â€â™‚ï¸ https://t.co/dUJzFfB6Rr,6,,9.09245E+17
1227021,What type of drugs you took ðŸ‘€ https://t.co/EyVzocgyIN,6,,9.04021E+17
531751,Unforgivable https://t.co/H2JdqNFRZD,2,,8.98311E+17
1342925,Lmaooooo https://t.co/vbptviwkCE,5,,9.05124E+17
1557164,To my cousin Christopher Mello A victim of the American Airline Flight 11 catastrophe. Died September 11 2001. Just 25 years,2,,9.07289E+17
1160868,ðŸ˜‚ðŸ˜‚ https://t.co/ZwKcBsQpAn,6,,9.03419E+17
1889644,@Jeennn_24 Thursday? Or next Saturday,6,,8.90049E+17
1870636,Had to pull up on her moma see what she made of ðŸ’¯,6,,8.89233E+17
1872310,@cvspharmacy shout out to yalls employee Kiara she went above and beyond helping a customer resolve a @MoneyGram  issue #help,6,,8.89292E+17
638479,A nap is so needed rn #MoveInDay,6,,8.99429E+17
1033036,610 Northbound at 225 is closed. Cones and a police vehicle have it blocked off. @KPRC2 https://t.co/H8tfRipHFX,3,,9.02451E+17
1389671,Praying that it's a boy! ðŸ™ðŸ½ðŸ’™,6,,9.05543E+17
1722505,oooh please donâ€™t put nomore ideas in the media head ðŸ˜­ðŸ¤¦ðŸ½â€â™€ï¸ https://t.co/ZBPMHHAM9V,2,,9.09075E+17
344273,@ericakaneee_ go make one,6,,8.96471E+17
827789,MannnnðŸ˜­ https://t.co/4utiofQRSz,6,,9.01229E+17
1566556,Grace Kelly and her Academy Award! @ Houston Texas https://t.co/6jWSwZG7yC,6,,9.07379E+17
100890,#Htown #Coolin https://t.co/lyDPLp31S0,6,,8.93962E+17
1878907,Brisket at Roegels.BBQ. Get the FREE Sauce Shop App in the Apple and Android app stores or atâ€¦ https://t.co/KytocgZMXA,6,,8.89606E+17
970984,Make sure u have a boat too https://t.co/uBEDWP9cNe,1,,9.0214E+17
128272,I been listening to a lot of 24Hrs and Nav you gotta really listen to both of em or You gone think they sound the same,2,,8.94291E+17
315317,#bearded #beardlife #tatted #galveston #beach #love #Godisgood @â€¦ https://t.co/2g70hE37MC,6,,8.9615E+17
19650,If trying to get back to school shoes come to finishline in the Houston galleria and look for me I'll be in from 4pm -9pm,6,,8.93118E+17
1889785,""":. This is the story not #Russia Will we see this @FoxNews is this accurate? #YouDecide #Investigate  https://t.co/5BRRwKh6rf",2,,8.90053E+17
122426,I am buying vegan products. Slowly but surely I'm gonna get there.,6,,8.94242E+17
1020911,Big shout out to Ted Oberg channel 13 for covering the storm victims.,5,,9.0238E+17
272520,There are only five days left until I trade the skylines of Houston for those of Dallas #wut.â€¦ https://t.co/eh8u3ixFBS,6,,8.95732E+17
667364,@xxMeggs__ @lahtasia I'm a smart shopper ðŸ˜¹,6,,8.99718E+17
1289022,Feelin' brand new https://t.co/Ew2YlB9rWs,6,,9.04556E+17
482390,I'm so happy I got orientation over with now I can nap all day,6,,8.97858E+17
1338757,Nobody got me like I got me,6,,9.05092E+17
1875851,im so excited to get a different carðŸ˜Š,6,,8.89503E+17
52159,this is gonna be me too. ðŸ’€ https://t.co/hH8lk0YLzM,6,,8.93415E+17
533914,They have it all wrong ðŸ”´ No go zones âž¡I watched these kids in Paris ...years...mini packs...8 10 kids...near Sephora...etc.,6,,8.98328E+17
802352,It's pouring now!,1,,9.0103E+17
236383,Update: still not packed https://t.co/F1CXFADtbG,1,,8.9537E+17
456726,Alien ðŸ˜°..... https://t.co/typpzabYWu,6,,8.97594E+17
1193351,Me getting back go Houston last night and hearing about the curfew... https://t.co/Rrq811t69L,1,,9.037E+17
771113,We keep opening the fridge for a burst of cold air. Also because the Iced Passion Tango Tea is just so pretty. https://t.co/,6,,9.00769E+17
540417,chick fil a https://t.co/fpupcggB8v,6,,8.98376E+17
35347,and that's on my mama kids https://t.co/lb4q8bLmHZ,6,,8.93252E+17
1583529,I'm giving the chilllrens Mariah... circa when she could sing ðŸ˜œðŸ’ðŸ½â€â™‚ï¸ðŸ˜‚ðŸ˜‚ðŸ˜‚,6,,9.0757E+17
200623,JamsðŸ–¤ #hellyeah  #rocknroll #TuesdayThoughts https://t.co/zXtbMWg22o https://t.co/zXtbMWg22o,6,,8.95014E+17
1621994,wow my best friend is really getting married in 2 months :'),6,,9.07982E+17
671979,â¤ï¸ https://t.co/DtKfuYLbcp,6,,8.99758E+17
1883651,I'm at El Camino &amp; Pineloch in Houston TX https://t.co/xPdjd5sObG,6,,8.89833E+17
182547,I asked Siri for a story before I went to sleep and this was her response. #Apple #Siri #BedTimeStory #Interesting https://t.c,6,,8.94791E+17
1469805,Crosby HS Cougars: 36 Jasper HS Bulldogs: 21 3rd quarter. #footballfriday #txhsfb,4,,9.06341E+17
370318,"I'm tired of posts like ""RT in 5 secs or your mom dies"". I'm taking a stand. It's 2017 not 2008. ðŸ˜’",6,,8.96776E+17
176419,@TexansChica @debbiethetexan @HoustonTexans See ya too!ðŸ˜Š,,,8.94751E+17
1001296,@warlock7506 Wow! Hang tough and be smart,6,,9.02301E+17
752528,back on my bullshit ðŸ¤¸ðŸ½â€â™€ï¸ðŸ˜› https://t.co/5c9RmINSp2,6,,9.00547E+17
479309,@callmebrooke12 Ummm there was gun shots by kings court over the weekend so try again,3,,8.97832E+17
935218,Wish I was cuddled up w/ my bf rn :((,6,,9.01928E+17
181371,Saw Migos and RaeðŸ™ŒðŸ½,6,,8.94783E+17
383584,Serious question how many times y'all shit a day ? ðŸ’©,6,,8.96882E+17
24833,i am so sad haha,6,,8.93165E+17
208869,if u ever smoke w me n u not inhaling im takin my sweet out yo mouth onna spot.,6,,8.95081E+17
1333431,#MyLaborDayIn4Words Getting my life together. #HoustonStrong,1,,9.05008E+17
1356021,Me right now ðŸ˜‚ðŸ˜‚ðŸ’¯ðŸ’ª @ Houston Texas https://t.co/GcFssF6SzG,6,,9.05223E+17
1853297,ðŸ˜­ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ https://t.co/HUTMbjyrym,6,,8.88469E+17
1499997,best news!!! https://t.co/k3wzxUSy3T,6,,9.0669E+17
1610598,Girlfriend* https://t.co/0pLhFYIk2r,6,,9.07805E+17
205266,#BEAUTY IS #SKINDEEP #MODELIFE I LOVE MY HEART NOT MY FACEVISIT AND SUBSCRIBE TO MY YOUTUBE @FLESHNFLESH/FB @HOOPZZZZZ/IGLET,6,,8.95052E+17
1161821,When you beating the cheeks and her mama come home early ðŸ˜‚ðŸ˜‚ðŸ˜‚  https://t.co/uvGCNtrWWi,6,,9.03426E+17
512446,LMFAOOOO NOT EVEN YA MAMA https://t.co/y4YpCN1LDa,6,,8.98086E+17
1476924,That nigga new name karma cause he always come back around,6,,9.06397E+17
1151093,@HISD_Supe administrative staff means Assit Principals and clerical staff and support staff?,6,,9.03348E+17
1154378,My birthday next Thursday ðŸ˜­,6,,9.03374E+17
679276,@POTUS spewing war propaganda https://t.co/jAZUqscKij,2,,8.99814E+17
1431874,It's only 4 of us in here ðŸ˜,6,,9.05959E+17
1242283,@ipbiloxi @Jessica__Lynn_  Look At Me That Way EP Release Sept.1st Nashville Gab Review https://t.co/LQyrheDisd â€¦ https://t.co,6,,9.0413E+17
91689,ðŸœ ramen date with my cousinsðŸ–¤ #jinya #downtown #houston https://t.co/VXucBNjpkQ,6,,8.93878E+17
