,Text,Topic 1,Topic 2,Spanish?,X.M.._twitter_id
801989,Today I realized that I do not know how to use a Bic lighter...so that's cool. ,6,,,9.01013E+17
45966,I love Alicia ðŸ˜”â¤ï¸ ,6,,,8.93328E+17
1028318,Still hilarious https://t.co/GMUN2XSQ9t ,6,,,9.02411E+17
72526,How y'all almost 17 acting 10 smh ,6,,,8.93631E+17
574213,@Jonathan_ToBurr $20 Dez leads the league in receiving touchdowns. ,4,,,8.98718E+17
1864789,Oh we had a ball here!! #girlstrip @ Bullpen Pizza &amp; Sports Bar https://t.co/dIQlwZv8U7 ,6,,,8.88939E+17
410331,@tanianicole4 this reminds me of you ðŸ˜‹ https://t.co/bPZmn6XuYh ,6,,,8.97158E+17
1002761,#HoustonStrong https://t.co/12ovRdMrAd ,1,,,9.02307E+17
1829501,One Beautiful Picture!! She's such a happy Baby! Beautiful just like her mother! https://t.co/TSabODOCoa ,6,,,8.87465E+17
1154841,Get #HarveyFtBend updates. Our #CNPftbend service center serves areas on this map and at https://t.co/mXTgpUAaGT 1/6 https://t.co/CXLUQ5nOd4 ,6,1,,9.03377E+17
1533073,Also can't have everything https://t.co/X45v3vTu2I ,6,,,9.07019E+17
1400645,"""To any who may be struggling to see that light and find that hope, I say:  Hold on. Keepâ€¦ https://t.co/Si1HehNSXJ ",6,,,9.05625E+17
959412,"i knew my time was coming, i had to wait for it. ",6,,,9.02023E+17
101873,Lo que paso paso entre tu y yo ! ,6,,1,8.93972E+17
817381,That rosario just a lil bit too extra https://t.co/95sUIKjP1Z ,6,,,9.01163E+17
1654258,No you're just gorgeous! ðŸ˜» https://t.co/znTI2ETKi5 ,6,,,9.08334E+17
644357,this my letter 2 the trap.. ,6,,,8.99464E+17
855837,What do I wanna eat ,6,,,9.01478E+17
855972,Same https://t.co/f10G83xgVJ ,6,,,9.01479E+17
261337,L.I.F.E. Lesson #41 @ Marriott Marquis Houston https://t.co/akLQvX8AsY ,6,,,8.95614E+17
447922,Happy birthday @sarahharriiss !!!! ðŸŽ‰ðŸŽ‰ðŸŽ‰â¤ï¸ ,6,,,8.97526E+17
55646,don't text my phone on no bs ,6,,,8.93486E+17
1178502,Houston females ........ https://t.co/93DHmnFbB7 ,6,,,9.03519E+17
1631082,Bum ,6,,,9.08066E+17
1156221,Who trynna go to the zoo tomorrow ? ,6,,,9.03387E+17
658210,I need to be in somebody's nail shop tomorrow ,6,,,8.99649E+17
1653913,ðŸ¤“ https://t.co/t320074aON ,6,,,9.0833E+17
1438612,Yup. https://t.co/PwiLd0MNYB ,6,,,9.06001E+17
1234171,"""We are part of this universe; we are in this universe, but perhaps more important than both ofâ€¦ https://t.co/zVtdNJQuzQ ",6,,,9.04068E+17
555917,So far the biggest take away from my grad school orientation is that there will be a lot of crying and there will be a lot of coffee. Perf. ,6,,,8.98571E+17
50227,Twitter sumnelse man. I'm loud af. ðŸ˜‚ðŸ˜‚ðŸ˜‚ ,6,,,8.93363E+17
1466206,Appropriate action? You mean like taking him and his entire family out to dinner at the restaurant of their choosing? https://t.co/sFEm61EDS9 ,6,,,9.06312E+17
65618,@supersailordoom Honestly if I were to read this again I would still laugh idc. My Hana Daki is stored in my closest https://t.co/E0pVUV77cb ,6,,,8.93571E+17
936307,I literally am hurt by all the dogs affected by this oh my ,6,,,9.01933E+17
10562,@akierralshaee well imma try before that ! ,6,,,8.92966E+17
1921103,Either not much or a lot has changed in 6 years ðŸ¤” high school graduation class of '11 to UTMBâ€¦ https://t.co/euazYdtMGw ,6,,,8.91469E+17
1540480,Can't wait to see all our Explores @CFISDWells tomorrow morning!! #firstdayexcitement #ExploreWells https://t.co/RsDuiRfCps ,6,,,9.07072E+17
1306508,I'm dying ðŸ˜«ðŸ˜«ðŸ˜« ,6,,,9.04774E+17
1816122,@CarlosERincon7 https://t.co/h0GxiQe9dr ,6,,,8.86915E+17
1498453,ZðŸ˜· https://t.co/LHQRZtFFtc ,6,,,9.06678E+17
1148792,@frvnkocevn lmfao same!!!ðŸ˜‚ðŸ˜‚ðŸ˜‚ got myself looking like this https://t.co/DwFvVnUd8a ,6,,,9.03332E+17
1812617,that was a joke ,6,,,8.86736E+17
978093,BLOOOOOOOCK https://t.co/OAlGDY6aeG ,6,,,9.02201E+17
1614635,On the bright side .... ,6,,,9.07834E+17
35813,Getting ready for this weekend of our most popular sold out items from last weekend! Omg!!! Myâ€¦ https://t.co/ZUMKdKVD6S ,6,,,8.93256E+17
1459370,All I want is money... all she want is me ,6,,,9.06252E+17
442709,Had to re-up my healthy meals with @beefitfoods for the week to help meet my fitness goals!#AllShipsRise #fitness #HealthyFood https://t.co/m5YNiFUekr ,6,,,8.97486E+17
1782149,Ozark &gt;&gt;&gt; ,6,,,9.09642E+17
462552,P say you aint gone be wasting a real nigga time ðŸ˜‚ðŸ˜‚ ,6,,,8.97635E+17
267055,"Rice, Monk, Irvin, Reed, Sharpe, Rison, Moore, Taylor, Brown, Slaughter, etc https://t.co/WObtObICt9 ",6,,,8.95687E+17
703404,I hate flying but I stay traveling ,6,,,9.00096E+17
885155,Finally ,6,,,9.01653E+17
530138,Still hasn't hit me that I'll be starting my senior year on Monday ,6,,,8.98299E+17
174048,Lmao bro why is this still so funny https://t.co/leB2Uq0oJC ,6,,,8.94737E+17
1751942,i wanna blast music but it's too late for that :( ,6,,,9.09341E+17
774087,scattered clouds -&gt; broken cloudstemperature up 91Â°F -&gt; 92Â°Fhumidity up 52% -&gt; 55%wind 13mph -&gt; 5mph ,6,5,,9.00792E+17
1744137,ITS ABOUT TIME ,6,,,9.09263E+17
914835,My Gm real for texting her employees ,6,,,9.01842E+17
1677414,I need to do my homework ðŸ˜© ,6,,,9.08515E+17
258978,Captain crunch is life ,6,,,8.95539E+17
1641908,@peytanelyse ðŸ¤” think so ? ,6,,,9.08153E+17
1234158,Me encanta que acÃ¡ haya gimnasio las 24hs todos los dÃ­as ðŸ˜ðŸ˜ŽðŸ‡ºðŸ‡¸ðŸ’ªðŸ». ,6,,1,9.04068E+17
1238680,@l0newlf_ Lmao. I meant rhe Supra Mk 4 up there ðŸ˜­ ,6,,,9.041E+17
565727,"@aescawenoo @xsuz_15 For what people like me lmao, and no one even wanted to train you on the first day lmao, they literally argued over it ",6,,,8.98649E+17
1588409,Goosebumps always makes me think of prom weekend ,6,,,9.07629E+17
1514654,Happy Sunday. https://t.co/YVtJwmyX4c ,6,,,9.06897E+17
1684141,This mans last name became a verb. Of course he's the Goat. https://t.co/2bAxyYAEE0 ,6,,,9.08555E+17
1553870,My phone gonna die before this class ends ðŸ˜¤ ,6,,,9.07259E+17
1846278,ðŸ‘€ https://t.co/iHi66qhWgG ,6,,,8.88166E+17
850707,Hornitos tho... is the truth! That is a smooth criminal. https://t.co/VFxv2CDtYZ ,6,,,9.01433E+17
28441,"Counting down to a man who doesn't have sense saying ""Na wa o, we can't even compliment you guys again, everything is fight. Woke blah blah"" ",6,,,8.93194E+17
1245035,A true freshman vs. one of the best WR's. Not ideal honestly. ,6,,,9.04149E+17
328547,Man there is a ton of hate in the world ðŸŒŽ. PERIOD. ,6,,,8.96262E+17
1683654,Fuck the police ,3,,,9.0855E+17
1855422,ðŸ”¥ðŸ”¥ðŸ”¥ #Cavs https://t.co/blVVsszUUw ,6,,,8.88531E+17
442115,ãŠã¯ã‚ˆã†ä¸–ç•Œ https://t.co/VhBc4qWasN ,6,,,8.9748E+17
336159,Our @mhs__interact officers at their leadership workshop planning to change the world!  Lots of great things happening here! https://t.co/bo4tbj56dW ,6,,,8.96404E+17
2657,put that long boy in her mouth and ask her how it taste ðŸ˜ ,6,,,8.92918E+17
978723,talk to me nice https://t.co/HUyI7VQKul ,6,,,9.02204E+17
1706304,Smile it's #friday and let's go #shopping where purpose greets you at the door with fashion onâ€¦ https://t.co/z1MYyQJiUr ,6,,,9.08837E+17
1253911,@JeremyWaffles @sza Excuse me sir I'm showering atm ,6,,,9.04208E+17
1815199,KAT has been awful on defense doesn't make him bad at all... Just means they are young and don't value D like they do on offense... https://t.co/zfOPrFFVdA ,6,,,8.86815E+17
1460771,https://t.co/woWwDeGZ6s Check out the RxDestruct #medicaldevice #3d #animation; patented #DEA / #EPA solution 4 destruction of #pharma waste ,6,,,9.06265E+17
960369,Stranded vehicle in Katy.. https://t.co/wJir4ZzhBy ,6,,,9.02028E+17
76553,Now I'm sad ): https://t.co/od29CrFXCh ,6,,,8.93663E+17
1670611,They killed that ðŸ‘ðŸ½ðŸ‘ðŸ½ https://t.co/8oEcbPRmFY ,6,,,9.08476E+17
1053946,"Wen shit get rough,yu stick with family...family is EVERYTHING â¤ï¸ðŸ’¯ ",6,,,9.02617E+17
124867,"Customer service says no, they cant give him money for the card he lost because its a gift card. Like, wtf man, it smells a scam haha ",6,,,8.94262E+17
1602835,"@martinn001 Fr, you gonna sponsor me or ",6,,,9.07752E+17
1597658,"New girl (in highschool) in my class tries to weld without a cap with long hair and with vans tennis shoes on like ""I'm not afraid to die!"" https://t.co/QyyoTCeRcO ",6,,,9.07705E+17
108575,@dunnettyorigin Man ,6,,,8.94032E+17
969355,Can't sleep at all ,6,,,9.02095E+17
489238,Visca BarÃ§a! ,6,,1,8.97911E+17
1916159,Easily one of my favorite moments https://t.co/5yYnNvb7rl ,6,,,8.91288E+17
749258,@meganxsam Doesn't it ðŸ˜‚ðŸ˜‚ like only me ,6,,,9.00527E+17
98794,@KPRC2 Why isn't Horse Racing showing?????? It's the Whitney Handicap and some show called Heart of the champion is showing instead. WTF???ðŸ˜  ,6,,,8.93941E+17
1250972,Same dawgðŸ˜­ðŸ˜© https://t.co/qapnRvSouK ,6,,,9.04187E+17
1093817,"Watersheds across the city are falling for the first time in days, per Lindner. That's very good news. #HurricaneHarvey #HoustonFloods ",1,,,9.02883E+17
1752042,Me urge ir a sabinas en noviembre ,6,,,9.09346E+17
935121,ðŸ˜«ðŸ˜ðŸ˜ https://t.co/05KtCPQUtg ,6,,,9.01928E+17
523738,My son starts to walk around like this I know he's not mind. My only muscles are in my brain. https://t.co/A63kkmybT5 ,6,,,8.98247E+17
174727,I felt like I was part of this relationship smh ðŸ˜«ðŸ˜‘ #TheBacheloretteFinale https://t.co/MGE3rOcazg ,6,,,8.94742E+17
1198634,Aww I miss y'all too ðŸ˜­ðŸ˜­ https://t.co/piU5JsGVOt ,6,,,9.03741E+17
990388,What a difference a day makes! This isn't a #surprise to me because I went through this lastâ€¦ https://t.co/xoVVhZynM8 ,6,,,9.02253E+17
513925,@Morning_Joe Why doesn't anyone mention that Maryland remained IN the Union during the Civil War? Why Confederate statues there anyway? ,6,,,8.98147E+17
304157,Y'all need to sub to @fabulousyaya_ 's channel she does BADASS make up and she's super dedicated to it! I love it so much goodluck girlðŸ’•ðŸ˜›ðŸ’„ðŸŽ‰ https://t.co/1RdKu1Uh6V ,6,,,8.96058E+17
794025,@oxcarpediemox @mocitytwest nbs you was late to school everyday ðŸ˜­ðŸ˜­ ,6,,,9.00925E+17
834458,Hdm? ,6,,,9.01262E+17
1872297,"Thank you for the love Houston! We'll be back! ðŸ¤˜ðŸ½ðŸ”¥ #TraeDay2017 @rosalynd_nicole @ Houston, Texas https://t.co/MF3l9ygUIy ",6,,,8.89291E+17
1813657,I'm the biggest nerd for #GameOfThones ,6,,,8.8677E+17
221769,Kant forget the kush I'm talking OG ,6,,,8.9517E+17
684927,"You know.. ""Speacials"" are good too. ðŸ’ðŸ» And amen!! God is always good! ðŸ˜ðŸ™‹ðŸ» https://t.co/N7pL9iX42f ",6,,,8.9985E+17
1225579,@Ryanexpress77 @TeamBettencourt To create an illusion ,6,,,9.04011E+17
1434507,Damn! https://t.co/EOs6GbtiZh ,6,,,9.05977E+17
283937,Craving wings!!!! ,6,,,8.95823E+17
1574974,I love falling asleep otp with my baby â¤ ,6,,,9.07437E+17
1538303,When you realize tomorrow is Monday..... https://t.co/a9vr8Xl2Ov ,6,,,9.07058E+17
1753176,"Week 1 of Fall League was a pretty good one, s/o to @BeachCityHoops for covering the games! https://t.co/69v7MxTei8 ",4,,,9.09406E+17
1718607,HAPPY BIRTHDAY @ReactionBro !!!! ðŸŽ‚ðŸŽ‰ðŸŽ‰Time goes so fast. I love you! â¤ https://t.co/xW5mnUCOF3 ,6,,,9.08963E+17
390303,@TylerClippard Updated Twitter bio already!!! https://t.co/c4Vlnk7Glf ,6,,,8.96928E+17
621785,Life has been patiently waiting for me... ,6,,,8.99284E+17
1401027,My boy @_Ruiz23 almost died today ðŸ˜‚ https://t.co/nqHsfxIhcG ,6,,,9.05627E+17
1039760,If you not going to help don't come. Give our money back instead of wasting in  bodyguards and safety for you. #TexasStrong #realtalk https://t.co/BDOfCkibwf ,6,,,9.02549E+17
210489,@ashleyyca go to amazing lash studios. that's where i used to get mine in houston and i'll be going there in atx when i'm back ,6,,,8.95092E+17
523878,Lmao https://t.co/dGDs54nCsM ,6,,,8.98248E+17
1016082,This flood proves the earth is flat ,6,,,9.02362E+17
830611,@sammyboywho https://t.co/awnmXQoGaw ,6,,,9.01243E+17
540060,big ol' facts https://t.co/5shXl3IhO6 ,6,,,8.98373E+17
1763139,"Any team looks to get the run the game going 1st to set up passing game smart guy ðŸ‘ðŸ¾. Stay a ""fan"" buddy https://t.co/ataoV9cEge ",6,,,9.09505E+17
1112959,Teaching the importance of seeing God's blessings &amp; the importance of sharing those blessings! This is my #promise2purpose #Kleinspirit https://t.co/8qlzWdntpy ,6,,,9.03019E+17
156262,I'm trying to make my header fit these whole messages and it's making me mad ,6,,,8.94594E+17
515201,"I wanna have fun with you, do shit I never done with you ",6,,,8.98169E+17
1199299,Hubby-que quieres hacer para tu bday? Ir al club?Me-nah no me da ganas-una house party?-nah xq luego dejan mugrero!-entonces?-idkðŸ¤·ðŸ½â€â™€ï¸ ,6,,,9.03747E+17
591305,"Besides the fact that these people are in no way ""genetically"" superior-where does Christ fit in? A liberal Jew from the Middle East? https://t.co/FsinbCjkmK ",2,,,8.98942E+17
400728,"This is so funny, oh my gosh. https://t.co/lZjU53pWGh ",6,,,8.97051E+17
1472932,@AgRiley79 Yes sir! ,6,,,9.06364E+17
22850,I HAD A DREAM ABOUT SCHOOL ,6,,,8.93149E+17
1166552,"taylor my dear, you're runway was a Love Story but you're lip sync left us with Bad Blood between you and i. i'm sorry my dear sashay away https://t.co/Wah24tKPA7 ",6,,,9.03451E+17
135634,"I have to learn how to cut my bangs, this shit grows too fast ",6,,,8.94354E+17
959033,Wednesday needs to get here already so we can wrap it up I don't wanna see this city struggling ,6,,,9.02022E+17
552148,Setting up my DVR for what begins Monday on fox26 at 10:30 pm  / Monday - Friday 10:30 - 11 PMâ€¦ https://t.co/tbJ5m3B9SS ,6,,,8.98529E+17
485058,The the Mick himself even said #SingleSuck. https://t.co/wmBfnPsKPW ,6,,,8.97879E+17
1414531,@ice4uman @dannic So do you MC for a lot of D j's now ,6,,,9.05808E+17
1452440,"Permit transfer. (@ Texas Department Of Public Safety in Webster, TX) https://t.co/tdjhBB5Zh9 ",6,,,9.06191E+17
221943,You always here of big daddy but whatever happened to little daddy? ,6,,,8.95171E+17
1364757,I really don't understand... why! ,6,,,9.05272E+17
281985,Chipotle Don't @ me https://t.co/02cB8doF9M ,6,,,8.95809E+17
1845939,This boy ATE THIS HOE !!!!!!!!!!!!! Ate !!! âš°ï¸âš°ï¸âš°ï¸ðŸ˜‚ðŸ˜‚ where was this when I was in school well. Nah we was getting mean roll ups https://t.co/4KD3ARzxid ,6,,,8.88154E+17
120742,BITTCHHH https://t.co/ygtVVdr6Nr ,6,,,8.94227E+17
667606,West Indians do this too ðŸ’€ https://t.co/ypXJ5wvYoe ,6,,,8.9972E+17
1646832,"I'm at River Oaks District - @rodistrict in Houston, TX https://t.co/fL4mpEQgH3 ",6,,,9.08185E+17
413777,@Savannaa_M I knew she wouldðŸŒ¹ who doesn't love you?! ,6,,,8.97185E+17
1363125,@CarverJohnny @SteveBermel 1. Kobe2. Jeter3. Magic4. Bird5. DuncanBrady will be 1 when he retires ,4,,,9.05264E+17
1006086,"And THEN when people do announce how they're trying to help some people reply with ""that's it?"" ...Maybe that was all they could give https://t.co/leRP4C1Qjk ",6,,,9.02323E+17
1272163,I'm their damned Huckleberry that's a fact! https://t.co/rJtA3fLLML ,6,,,9.04441E+17
824018,@roxannenguyenn His hobby lol! ,6,,,9.01207E+17
1022300,I FUCKING HATE YOU https://t.co/oWBfjHB5fs ,6,,,9.02385E+17
708106,not gonna lie but I miss our moments /: ,6,,,9.00134E+17
1908532,@carlosssses trippin ðŸ˜‚ ,6,,,8.90946E+17
845740,Asshole ðŸ˜‚ https://t.co/uI8woEtwT5 ,6,,,9.01326E+17
1385656,I spend more time here than anywhere else. ðŸ˜¢ @ NRG https://t.co/rGefWOG5Dl ,6,,,9.05508E+17
1135806,OmgðŸ¤¦ðŸ¾â€â™€ï¸ðŸ¤¦ðŸ¾â€â™€ï¸ðŸ¤¦ðŸ¾â€â™€ï¸ he got her on some shit https://t.co/fX7IvZ9PQq ,6,,,9.03176E+17
632840,Watching Preseason reruns on the NFL Network ,4,,,8.99381E+17
577530,LMFAOOOOSOJDJDOOO WHAAAT ðŸ˜‚ðŸ˜‚ https://t.co/wBikNaSVsC ,6,,,8.98742E+17
632877,Can my snap stories just never expire and stay up forever? ðŸ˜…ðŸ˜‚ðŸ¤¦ðŸ½â€â™€ï¸ ,6,,,8.99381E+17
1440035,"I just stepped in my dogs shit, how is yalls night? ðŸ™‚ ",6,,,9.06008E+17
646644,"@dlwade81 And had a whole threesome anyways lol he not gonna have trouble in that department. Now tonight he took an L, yes. Other than that. No ",6,,,8.99476E+17
1084389,If I owe you a feature I ain't forgot about you .... ,6,,,9.02764E+17
1133057,This direct deposit trash ðŸ¤¦ðŸ¾â€â™€ï¸ ,6,,,9.0314E+17
132719,Going* https://t.co/PQGEq9NWO9 ,6,,,8.9433E+17
76732,I feel useless most of the time ,6,,,8.93664E+17
700667,What is the older generations issue with people having headphones on while working at a desk??? ,6,,,9.00072E+17
1745952,Yessss!!!! https://t.co/H6lMmaGbh0 ,6,,,9.09269E+17
636592,Smh he don't appreciate how much yo highlight poppin https://t.co/iCvqQpDHEn ,6,,,8.99414E+17
150660,THIS. IS. NOT. OKAY. https://t.co/1FV81P3mA2 ,6,,,8.94484E+17
255586,@zackdigi Hillary clinton ,2,,,8.95508E+17
347044,Today the mask definitely slipped. https://t.co/Is32iyDx0B ,6,,,8.96494E+17
811400,heading out to Austin âœŒðŸ½ ,6,,,9.01125E+17
399574,Just finish watching power ,6,,,8.97003E+17
583096,This bitch don't look 16 dawg https://t.co/c0xeulCaz4 ,6,,,8.98786E+17
299295,"Look on the bright side teachers, with nuclear war on the horizon, you can ignore homework, Algebra, the Common Core, and test prep! ",6,,,8.96017E+17
302668,Being made an example of https://t.co/1HUubHtuF6 ,6,,,8.96047E+17
908058,ðŸ—£I WILL NOT ONLINE SHOP         ðŸ—£I WILL NOT ONLINE SHOP ,6,,,9.01809E+17
1543510,Everything funny when u high ðŸ˜‚ ,6,,,9.0709E+17
1170560,Need me a man who can take cute pics of me ,6,,,9.03471E+17
841606,"""Love isn't two lives never knowing pain, it's two souls that face it together""ðŸ˜©ðŸ˜©ðŸ˜© ",6,,,9.01298E+17
1399515,I miss @_hayleymwright texting me 24/7. â˜¹ï¸ðŸ™ ,6,,,9.05619E+17
1683443,"Right now, this very second, the Cincinnati Bengals are the worst team in the NFL. ",4,,,9.08549E+17
57508,@TurdFerguson883 I don't accept you and you rudeness. ,6,,,8.93504E+17
1690671,ðŸ˜‚ðŸ˜‚ðŸ˜‚ https://t.co/2yFd1Uy0hK ,6,,,9.08695E+17
1543412,@insecurehbo @IssaRae got me all f'd up before bed tho ðŸ˜’ðŸ˜©all that and they're still F'd up #insecurehbo https://t.co/smqQZlqgYL ,6,,,9.07089E+17
511170,say no more. https://t.co/zWrGVkQDjo ,6,,,8.98069E+17
1222082,ðŸ¤”ðŸ¤”ðŸ¤” https://t.co/XHwluyEAIH ,6,,,9.03972E+17
104350,ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ @AstrosAtoZ https://t.co/frv1IwzzQD ,6,,,8.93997E+17
136182,omg the killer of miss keisha https://t.co/TcXtCA3W0w ,6,,,8.94359E+17
1638105,@JeremyBranham @HunterYurachek Fixed now.  Thanks ,6,,,9.08125E+17
1197693,i. need. it. https://t.co/jX8uxrGTfO ,6,,,9.03734E+17
1862137,"Thanks again Chick-fil-A, for partnering with Beck Masten North to provide our customers with anâ€¦ https://t.co/G7Qp07yGE0 ",6,,,8.88852E+17
1161543,ðŸ˜ðŸ˜ðŸ˜ https://t.co/gIDydGjO7s ,6,,,9.03424E+17
358897,"@angiecorona271 ðŸ˜‚ðŸ˜’niÃ±a , no seas asi . Comportate ",6,,,8.96588E+17
777774,Me n Geo's washateria set up https://t.co/BTk8IaYlAX ,6,,,9.0082E+17
1550083,"ØªÙ…Ø´ÙŠ Ø®ÙÙŠÙ ðŸ‡ºðŸ‡¸ #ØµØ¨Ø§Ø­_Ø§Ù„Ø®ÙŠØ± Ø¹Ù†Ø¯Ù†Ø§ Ùˆ #Ù…Ø³Ø§Ø¡_Ø§Ù„Ø®ÙŠØ± Ø¹Ù†Ø¯ÙƒÙ…. @ Houston, Texas https://t.co/lbRiM5i9lQ ",6,,,9.07214E+17
1001634,Conviction can exist without emotion. ,6,,,9.02302E+17
898947,Right?! Unless they fuck up. Lol https://t.co/YHh65iptYq ,6,,,9.01695E+17
1464313,@BeyoncÃ© along with her #beygoodfoundation helped over 400 families who were displaced by Hurrricane Harvey! #beyonce @937thebeat was there. https://t.co/R08h02jGCW ,1,,,9.06296E+17
1787337,Busca amor nada mas que amor ðŸŽ¶ ,6,,,9.09771E+17
881363,AMEN!!!!! https://t.co/sb4LYxE7zC ,6,,,9.01635E+17
1764183,I've been working all day. It's so important to take breaks and not overdo it. Massage time! ,6,,,9.09513E+17
823891,i need a back massage &amp; a nap ,6,,,9.01206E+17
328276,when sleep is the only escape from your mind https://t.co/Jb15QND7hB ,6,,,8.96259E+17
1128559,I FINALLY MADE IT HOME. TOOK A LOT OF BACK ROADS.  BUT I MADE IT HOME. I APPRECIATE THE THOUGHTS. FINNA BEAT THIS MEAT LIKE A DRUMSTICK. GN ,6,,,9.03111E+17
438984,Sometimes you just need dinner with your parents! #family #yesthatsabeatleswig #lovemyson @â€¦ https://t.co/N7fTxnhjiM ,6,,,8.97442E+17
409792,ðŸ˜­ https://t.co/TB06RF2DwY ,6,,,8.97154E+17
427169,Greed island is in English now ðŸ˜€ ,6,,,8.97286E+17
1383652,lmao sis got the juice https://t.co/ukoPPQ0zmm ,6,,,9.05492E+17
1114373,The lovebugs are back and outta control ðŸ™„ðŸ™„ðŸ˜­ ,6,,,9.03028E+17
306362,I legit felt like that was a complimentðŸ˜‚ðŸ˜‚ ,6,,,8.96075E+17
829034,ðŸ¾ðŸ¾ðŸ¾ https://t.co/BazExE3DZa ,6,,,9.01235E+17
1768944,"@RealMikeWilbon Cutler was doing something strange. That's why, Michael. ðŸ˜‚ ",6,,,9.0955E+17
1047222,This Chic fil a came in handy ,6,,,9.02586E+17
233329,I've had the wildest morning lmfao thank god my brothers okay ,6,,,8.95345E+17
291215,I ain't go to skool bitch my hustle is natural ,6,,,8.95871E+17
339227,ðŸ˜‚ðŸ˜‚ https://t.co/AjVKdPcXSX ,6,,,8.96429E+17
178742,"hazel e do look good now, but she make herself look stupid bragging about how she upgraded her life. like she ain't never had shit. ",6,,,8.94765E+17
1089591,I need a booty rub â€¼ï¸ ,6,,,9.02801E+17
34872,About to take a nap and not go to sleep for hours ,6,,,8.93248E+17
682225,i wanna go out to eat to la fishermen this week ,6,,,8.99832E+17
562959,I hate doing traditional sew ins now lol ,6,,,8.98625E+17
651646,Bro McDonald's employees really be lying saying they machine down when really they being lazy... ,6,,,8.99514E+17
1896973,In do time. ,6,,,8.90389E+17
51996,My life https://t.co/bP3rVx8waD ,6,,,8.93407E+17
1250398,@MtzMartinez68 is finna help me plan my bdayðŸ‘€ðŸ˜› ,6,,,9.04184E+17
768391,Guy Shippuden lmaoooo https://t.co/zuchNZqWdb ,6,,,9.00749E+17
216066,@imax713 I thought that app deleted lol ,6,,,8.95129E+17
1612367,this is true https://t.co/KtOOSfOnDb ,6,,,9.07816E+17
1833949,"""Put on knee deep we'll turn out you party"" - Ice Cube#HTOWN @djbigreeks x #SFBE ...â€¦ https://t.co/bvxHZ7JXz7 ",6,,,8.87691E+17
675892,ðŸš¨ðŸš¨ðŸš¨ðŸš¨ Are you ready for HennyThing Festâ‰ï¸#HennythingFest â€¼ï¸â€¼ï¸â€¼ï¸Hennessy ðŸ¥ƒâ€¢ Food TrucksðŸšâ€¢ Liveâ€¦ https://t.co/7GSyoNKB4U ,6,,,8.99791E+17
1641009,"Damn I'm basically coming out of 300$ to book the ""kidNPlay"" for tylen birthday ðŸ˜© ",6,,,9.08146E+17
154264,I'm so happy ,6,,,8.94574E+17
1491007,some songs be sounding so much better inna carðŸ˜­ ,6,,,9.06609E+17
1260004,Don't wait for opportunity. Create it. ,6,,,9.04316E+17
1329698,â¤ï¸ https://t.co/FcnSQyLXKu ,6,,,9.04941E+17
691078,It's time to get iiit ,6,,,8.99977E+17
856988,And being basic is ok when you recognize it. ,6,,,9.01485E+17
1532003,yea lol https://t.co/eBNfgJl97k ,6,,,9.0701E+17
1695810,@Emergente56 @jen_tx83 I'm gonna be in lake Charles ðŸ¤” ,6,,,9.08741E+17
